allergens,product_name,fat_100g,energy_100g,sugars_100g,carbohydrates_100g,fiber_100g,proteins_100g,potassium_100g
,Organic Golden Flax Seeds,42.86,2590.0,,38.1,38.1,19.05,
,Organic Spicy Punks,48.48,2536.0,,15.15,15.2,30.3,
,Biscuiot de bourg de batz,20.1,2025.0,29.8,68.6,,7.4,
,Biscuits du bourg de Batz,34.1,2293.0,24.1,53.4,,7.0,
,Mélange fruits secs,,,,,,,
,Cinnamon Nut Granola,18.18,1824.0,21.82,60.0,9.1,14.55,
,Organic Hazelnuts,60.71,2632.0,3.57,17.86,10.7,14.29,
,Organic Sweetened Banana Chips,26.67,2092.0,16.67,66.67,3.3,3.33,
,Lotus Organic Brown Jasmine Rice,2.22,1582.0,2.22,77.78,2.2,8.89,
,Organic Oat Groats,5.95,1096.0,2.38,66.67,9.5,16.67,
,Energy Power Mix,17.5,1464.0,32.5,42.5,5.0,7.5,
,Antioxidant Mix - Berries & Chocolate,33.33,2092.0,30.0,46.67,6.7,13.33,
,Organic Quinoa Coconut Granola With Mango,10.91,1674.0,27.27,69.09,9.1,10.91,
,Fire Roasted Hatch Green Chile Almonds,50.0,2372.0,6.67,23.33,10.0,6.67,
,Peanut Butter Power Chews,20.0,1954.0,33.33,60.0,4.4,8.89,
,Real Salt Granular,,,,,,,
,Organic Unswt Berry Coconut Granola,22.22,1548.0,5.56,57.41,9.3,12.96,
,Roasted Salted Black Pepper Cashews,46.67,2372.0,6.67,30.0,3.3,16.67,
,Thai Curry Roasted Cashews,43.33,2372.0,6.67,30.0,3.3,16.67,
,Wasabi Tamari Almonds,46.67,2230.0,3.33,23.33,10.0,20.0,
,Organic Medium Shredded Coconut,30.0,2230.0,6.67,53.33,6.7,6.67,
,Organic Red Quinoa,6.67,1490.0,11.11,64.44,8.9,13.33,
,Dark Chocolate Coconut Chews,35.0,2092.0,37.5,52.5,7.5,5.0,
,Seventh Heaven Organic Trail Mix,32.14,2092.0,35.71,46.43,7.1,14.29,
,"Organic Unsweetened Granola, Cinnamon Almond",21.57,1887.0,3.92,58.82,9.8,11.76,
,Organic Blueberry Almond Granola,9.09,1674.0,29.09,70.91,7.3,10.91,
,"Sweeteners, Demerara Turbinado Sugar",,1569.0,100.0,100.0,,,
,Aunt Maple's Crunchy Granola,28.57,2092.0,23.21,55.36,7.1,10.71,
,Organic Coconut Chips,65.0,2761.0,7.0,24.0,16.0,6.0,
,Organic Black Beans,,1393.0,2.22,62.22,24.4,22.22,
,Organic Whole Grain Emmer Farro,2.13,1515.0,,72.34,10.6,12.77,
,Organic Hard Red Wheat Berries,2.13,1335.0,,68.09,12.8,12.77,
,Aunt Ginger's Snappy Granola,17.86,1941.0,21.43,64.29,7.1,10.71,
,Dark Chocolate Sea Salt & Turbinado Almonds,35.0,2197.0,37.5,50.0,7.5,7.5,
,Divinely Organic Granola,14.55,1749.0,21.82,65.45,9.1,12.73,
,Organic Black Chia Seeds,32.14,2046.0,,42.86,39.3,14.29,
,Naturablue original,0.0,0.0,0.0,0.0,,0.0,
,Cotelettes,,,,,,,
,Les délices de la Monne,,,,,,,
,Habitus Stimulus,0.0,4.0,0.0,0.0,,0.0,
,Filet de bœuf,,,,,,,
,Marks % Spencer 2 Blueberry Muffins,,1513.0,,,,,
,Organic French Green Lentils,,1490.0,4.44,64.44,15.6,26.67,
,Naturakrill,,,,,,,
,Organic Garbanzo Beans,5.32,1335.0,8.51,53.19,14.9,17.02,
,Organic Green Split Peas,1.11,1582.0,,68.89,28.9,28.89,
,Organic Small Red Chili Beans,,699.0,2.78,63.89,44.4,22.22,
,Organic Small White Beans,,1674.0,2.22,66.67,26.7,24.44,
,Organic Grey-Green Lentils,1.11,1582.0,,66.67,33.3,28.89,
,Organic Yellow Split Peas,1.11,1582.0,8.89,68.89,28.9,28.89,
,Organic Mung Beans,0.98,1477.0,,62.75,15.7,23.53,
,Organic Baby Lima Beans,,1393.0,8.89,62.22,26.7,20.0,
,Organic Dark Red Kidney Bean,,1272.0,2.17,54.35,13.0,19.57,
,Coconut Almond Granola,25.45,2054.0,9.09,58.18,7.3,10.91,
,Moelleux au chocolat,28.6,1966.0,32.3,45.9,7.3,6.2,
,Tarte flan,,,,,,,
,Maple Almond Granola,14.55,1904.0,12.73,67.27,9.1,10.91,
,35% Fruit And Fiber Muesli,4.55,1523.0,23.64,70.91,9.1,10.91,
,Rebel Crunch Granola,8.93,1720.0,21.43,73.21,10.7,14.29,
,Compote de poire,0.4,322.0,12.3,16.8,,0.4,
,Organic Mixed Vegetable Spirals,1.75,1490.0,,71.93,1.8,14.04,
,Tricolor Tortellini,9.23,1611.0,1.54,60.0,3.1,13.85,
,Organic Couscous,,1582.0,,80.0,4.4,13.33,
,Organic Spaghetti,2.68,1569.0,5.36,67.86,3.6,12.5,
,Orzo Rosa Marina,1.72,1443.0,1.72,67.24,1.7,12.07,
,Organic Refined Spelt Flour,1.67,1393.0,,70.0,3.3,13.33,
,10-Grain Pancake Mix,1.72,1297.0,5.17,60.34,6.9,13.79,
,Fine Sea Salt,,,,,,,
,"Sweeteners, Organic Fair Trade Sugar",,1569.0,100.0,100.0,,,
,Organic Refined Unbleached White Flour,,1536.0,,76.67,3.3,10.0,
,Organic Whole Brown Rice Flour,3.23,1891.0,,96.77,6.4,12.9,
,Organic Whole Spelt Flour,2.94,1356.0,2.94,67.65,5.9,14.71,
,Organic Whole Rye Flour,1.67,1393.0,,73.33,13.3,10.0,
,Granola Cranberry And Acai,10.91,1824.0,25.45,74.55,5.5,9.09,
,Organic Medium Whole Wheat Flour,1.43,1552.0,,62.86,11.4,11.43,
,Organic Soft Whole Wheat Pastry Flour,1.79,1644.0,,78.57,10.7,14.29,
,"Peanuts, Mixed Nuts",42.86,2389.0,14.29,25.0,7.1,25.0,
,Mousse au chocolat,5.6,707.0,21.6,22.7,,5.8,
,Organic Large Raw Whole Cashews,50.0,2648.0,6.67,30.0,23.3,16.67,
,Organic Brown Sesame Seeds,50.0,2439.0,,22.22,11.1,16.67,
,Organic White Sesame Seeds,55.56,2439.0,,13.89,13.9,19.44,
,Almonds Hickory-Smoked,57.14,2690.0,,14.29,7.1,21.43,
,"Foods, Spanish Peanuts",50.0,2389.0,3.57,17.86,7.1,28.57,
,"Foods, Honey Roasted Nut Mix",46.43,2389.0,3.57,28.57,7.1,21.43,
,Roasted Salted Sunflower Seeds,57.14,2766.0,3.57,21.43,17.9,21.43,
,"Foods, Deluxe Nut Mix",57.14,2540.0,3.57,21.43,7.1,17.86,
,"Foods, Honey Roast Nuts & Fruit Mix",28.0,2176.0,32.0,60.0,8.0,12.0,
,Organic Raw Walnuts,64.0,2678.0,,12.0,8.0,16.0,
,Organic Raw Sunflower Seeds,42.42,2218.0,,21.21,9.1,18.18,
,Organic Trail Mix,26.67,1812.0,33.33,46.67,6.7,13.33,
,Organic Pecan Halves,70.42,2946.0,3.52,14.08,7.0,10.56,
,Unsalted Dry Roasted Almonds,56.67,2791.0,6.67,20.0,13.3,26.67,
,Fromage blanc à la crème de marron,5.8,640.0,16.3,20.0,10.0,4.4,
,Organic Extra Virgin Olive Oil,100.0,3586.0,,,,,
