allergens,product_name,fat_100g,energy_100g,sugars_100g,carbohydrates_100g,fiber_100g,proteins_100g,potassium_100g
,Fruit Gelatin,0.0,84.0,3.03,4.04,0.0,1.01,0.0
,Chocolate Pudding,1.77,406.0,15.04,20.35,0.9,1.77,
,"D' Sabor, Aloe Vera Juice Drink, Pineapple",0.0,117.0,7.6,7.6,0.0,0.0,
,"D' Sabor, Aloe Vera Juice Drink",0.0,117.0,7.6,7.6,0.0,0.0,
,Chargrilled chicken,3.7,377.0,2.7,5.0,,7.6,
,Tostadas,23.62,1975.0,0.0,62.99,7.9,7.87,
,Tostada Casera,20.41,1992.0,0.0,68.03,6.8,6.8,
,Taco Shells,19.23,2092.0,0.0,69.23,7.7,7.69,
,Roasted & Unsalted Peanuts,50.0,2389.0,3.57,17.86,7.1,25.0,
en:milk,Reduced fat Tzatziki,2.3,259.0,3.7,5.7,0.6,4.4,
,Honey,0.0,1197.0,76.19,80.95,,0.0,
,Milk Duds,15.4,1820.0,51.3,69.2,0.0,2.56,
"WHEY, MILK, MILK, BARLEY, MALT, WHEAT, MILK, SOY",Bonbons Whoppers Fraises,17.0,1937.0,66.0,78.0,0.0,0.0,
,The Original Malted Milk Balls,18.37,1879.0,57.14,75.51,2.0,2.04,
"MILK, MILK, WHEAT, MILK, SOY, WHEY, MILK, MILK, BARLEY, WHEAT, MILK, SOY",Whoppers,17.1,1940.0,58.5,75.6,0.0,2.44,
,"Heath, Milk Chocolate English Toffee Bar",33.33,2251.0,61.54,61.54,2.6,2.56,
,"Heath, Milk Chocolate English Toffee Bar",33.33,2251.0,61.54,61.54,2.6,2.56,
,"Heath, Milk Chocolate English Toffee Bar",33.33,2251.0,61.54,61.54,2.6,2.56,
,"Heath, Milk Chocolate English Toffee Bar",32.56,2238.0,60.47,62.79,2.3,2.33,
,Snack Size Milk Chocolate English Toffee Bar,32.56,2238.0,60.47,62.79,2.3,2.33,
,Malted Milk Candy,12.5,1883.0,75.0,82.5,0.0,2.5,
,"Whoppers, Original Mini Eggs Candy, Malted Milk Balls",20.0,1987.0,57.5,75.0,0.0,2.5,
,Good&plenty,0.0,753.0,33.0,46.0,,1.0,
,Good & Plenty,0.0,1460.0,62.5,87.5,,2.5,
,Jolly Rancher Hard Candy,0.0,1630.0,61.1,94.4,0.0,0.0,
,Crunch'n chew,0.0,251.0,11.0,14.0,,0.0,
,Mini Robin Eggs,12.2,1937.0,73.17,85.37,0.0,2.44,
,Woopers,18.0,1946.0,49.0,69.0,,1.0,
,"Whoppers, Milkshake Malted Milk Balls, Vanilla",17.07,2042.0,65.85,78.05,0.0,2.44,
,Jolly Rancher hard candy,0.0,1623.0,61.0,94.0,,0.0,
,Jolly Rancher Fruit Chews Candy (Original Flavors),5.2,1636.0,66.0,86.0,,0.0,
,Jolly rancher,0.0,544.0,24.0,34.0,,0.0,
,Milk Duds,15.4,1820.0,51.3,69.2,0.0,2.56,
,Candy,15.38,1824.0,53.85,74.36,0.0,2.56,
,Jolly Rancher Hard Candy - Original,0.0,1464.0,55.0,85.0,,0.0,
,The Original Malted Milk Balls,17.07,1937.0,58.54,75.61,0.0,2.44,
,"Good & Plenty, Licorice Candy",0.0,1464.0,62.5,90.0,0.0,2.5,
,Jolly Rancher Hard Candy Original Flavor,0.0,1628.0,61.1,94.4,,0.0,
,Sugar free hard candy,,,,,,,
,Jolly Rancher Gummies Assortment,0.0,1213.0,54.0,70.0,,3.2,
,zero,,,,,,,
,Payday Peanut Caramel Bar,5.8,1929.0,40.0,48.0,,13.0,
,"Heath, English Toffee Bars",32.91,2226.0,60.76,62.03,1.3,2.53,
,Cafe Colombia Delicat et savoureux,,,,,,,
,Classic Beer Bread Mix,0.0,1314.0,11.43,65.71,2.9,8.57,
,Beer Bread Mix,2.44,1326.0,14.63,60.98,2.4,9.76,
,Brownie Mix,3.85,1611.0,69.23,73.08,3.8,11.54,
,Chocolate Ecst Asy Brownie Mix,5.36,1644.0,64.29,71.43,3.6,10.71,
,Turtle Brownie Mix,4.17,1393.0,54.17,62.5,4.2,8.33,
,Brownie Mix,1.61,1619.0,74.19,80.65,3.2,6.45,
,Chips de légumes,,,,,,,
,Egg Fried Rice,2.9,653.0,0.1,28.2,1.6,3.7,
,Country vegetable soup,0.7,117.0,2.3,4.2,1.1,0.6,
"Milk, Cream, Milk",Cream on Top strawberry Organic Yogurt,4.12,443.0,14.1,15.9,0.0,2.94,
,Hard rock,11.0,167.0,6.0,8.0,,6.0,
,Chicken & Vegetable Mini Spring Rolls,8.54,816.0,8.54,25.61,2.4,4.88,
,Vegetable Mini Spring Rolls,10.98,866.0,9.76,28.05,2.4,2.44,
,2 british pork boneless loin steaks,,,,,,,
,Chick-a-Boo,32.4,2280.0,54.1,55.9,,6.8,
en:milk,Pilau rice,2.6,619.0,0.2,27.7,1.1,3.0,
"blé, orge, lait, œufs",Crispy Crunchy Oatmeal Raisin Cookies,26.6,2092.0,30.0,63.3,,6.66,
,Whiskey Praline Pecans,29.17,2092.0,54.17,62.5,4.2,4.17,
,Whiskey Praline Pecans,29.17,2092.0,54.17,62.5,4.2,4.17,
,"Mossy Oak, Chocolate Pecans",39.29,2389.0,46.43,50.0,3.6,7.14,
,"Wheeler's, The Original Praline Pecan, Pecans, Bourbon Praline",29.17,2092.0,54.17,62.5,4.2,4.17,
,Jack Daniel's Tennessee Honey Liqueur Pecans 2oz,8.0,586.0,16.0,19.0,,1.0,
,Jennesse Honey Pecans,7.0,502.0,13.0,18.0,,1.0,
,"Luker, Azucar Morena",16.0,2008.0,72.0,80.0,8.0,4.0,
,Cookies'N Cream Cake,24.0,1841.0,40.0,53.33,1.3,4.0,0.12
,"Salade au Quinoa, Avocat et Noix du Brésil",7.3,632.0,4.0,16.3,3.2,3.4,
,Petits gâteaux à l'anis,2.9,1623.0,46.7,81.5,,7.9,
,"Salade De Riz, Haricots Noirs Et Feta",,711.0,0.2,,5.7,5.4,
,Applewood Double Smoked Bacon,41.67,2092.0,,8.33,,33.33,
,Hickory Smoked Bacon,33.33,1745.0,0.0,0.0,0.0,33.33,
,Indian style poppadoms,16.5,1770.0,2.4,40.8,11.8,22.0,
,Mini Chocolate Cup Cakes,12.68,1473.0,42.25,56.34,1.4,2.82,
,Confetti Cupcakes,15.49,1590.0,42.25,60.56,1.4,2.82,
,Confetti Cupcakes,15.49,1590.0,42.25,60.56,1.4,2.82,
,Mini Confetti Party Platter With Buttercreme Icing,15.49,1590.0,42.25,60.56,1.4,2.82,
,"Winter Wonderland, Cup Cakes, Buttercreme Icing",15.49,1590.0,42.25,59.15,0.0,2.82,
,Winter Wonderland Mini Chocolate Cupcakes,12.68,1473.0,40.85,57.75,1.4,2.82,
,Winter Wonderland Mini Chocolate & Gold Cupcakes,14.08,1531.0,40.85,57.75,1.4,2.82,
,"Flavorful Favorites, Mini Chocolate Cupcakes",14.08,1531.0,40.85,56.34,1.4,4.23,
,"Flavorful Favorites, Mini Chocolate Cupcakes",12.68,1473.0,40.85,57.75,1.4,4.23,
,Mini Confetti Cupcakes,14.08,1648.0,43.66,61.97,1.4,2.82,
,"Harvest Time, Gold Cupcakes",16.92,1674.0,49.23,61.54,0.0,1.54,
,"Harvest Time, 6 Chocolate Cup Cakes, Butter Cream",15.38,1611.0,47.69,60.0,0.0,1.54,
,Cupcakes,16.47,1674.0,48.24,62.35,1.2,2.35,
,Cupcakes,15.29,1623.0,47.06,61.18,1.2,2.35,
,Mini Gold Cupcakes With Butter Creme Icing,16.47,1674.0,47.06,61.18,1.2,2.35,
,From The Heart Cupcakes,14.12,1573.0,47.06,60.0,1.2,2.35,
,Cupcakes,15.29,1623.0,47.06,61.18,1.2,2.35,
,Mini Gold & Chocolate Cupcakes Party Platter,15.29,1623.0,47.06,61.18,1.2,2.35,
,Harvest Time Cupcakes,15.29,1674.0,48.24,62.35,1.2,2.35,
,12 Mini Gold Cupcakes,16.47,1674.0,48.24,62.35,0.0,2.35,
,"Holiday Merriment, Mini Chocolate Cupcakes,",14.12,1573.0,47.06,60.0,1.2,2.35,
,"Holiday Merriment, Mini Gold & Chocolate Cupcakes",15.29,1623.0,47.06,61.18,1.2,2.35,
,"Maplehurst Bakeries, Mini Gold & Chocolate Party Platter Cupcakes",15.29,1623.0,45.88,61.18,1.2,2.35,
,From The Heart Cupcakes,15.49,1590.0,42.25,59.15,1.4,2.82,
,Cupcakes,15.49,1590.0,42.25,59.15,1.4,2.82,
,Spring Celebration Cupcake,15.49,1590.0,42.25,59.15,1.4,2.82,
,Harvest Time Cupcakes,15.49,1590.0,42.25,59.15,1.4,2.82,
,Holiday Merriment Cupcakes,15.49,1590.0,42.25,59.15,1.4,2.82,
,12 Gold Cupcakes With Buttercreme & Chocolate Icing,15.29,1674.0,48.24,63.53,1.2,2.35,
,"Everyday Favorites, Gold Cupcakes",15.15,1648.0,48.48,62.12,0.0,1.52,
,"Everyday Favorites, Cupcakes",13.64,1586.0,48.48,60.61,1.5,3.03,
"en:gluten,en:milk,en:nuts,en:soybeans",Cigarettes Fourrées Chocolat Noisettes,21.0,2042.0,48.0,67.0,3.5,6.0,
,yaourt fermier,,,,,,,
,mini -toastes aixois grilles au céréales,,,,,,,
,Horse Apples Candy,14.12,1674.0,47.06,63.53,0.0,4.71,
,"Baraboo Candy Company, Mini Cow Pie Candy, Original",25.0,2092.0,50.0,64.29,0.0,7.14,
,Mini Cow Pie Candy,25.0,2092.0,50.0,64.29,0.0,7.14,
,Tartiflette,,,,,,,
,Crips & Colourful Mixed Leaf Salad,0.5,79.0,1.8,2.2,1.9,1.2,
, Sweet'n Salty Mix,31.4,2030.0,34.3,48.6,5.71,14.3,
,Agave Nectar,0.0,1197.0,76.19,76.19,0.0,0.0,
,Imitation Crab Surimi Snow Sticks,0.0,335.0,4.0,11.0,0.0,9.0,
,Seafood Sticks,2.94,540.0,4.71,18.82,1.2,5.88,
,Seafood Sticks,2.94,540.0,4.71,18.82,1.2,5.88,
,Premium Surimi Seafood Flakes,2.35,444.0,2.35,12.94,0.0,9.41,
,Crab Smart Surimi Seafood Sticks,2.35,444.0,2.35,12.94,0.0,9.41,
,Dank Sauce,0.0,259.0,0.0,12.5,0.0,0.0,
,Kleber für Lebensmittel,,,,,,,
,klare Suppe gefroren,,,,,,,
,Jasmine Rice,0.0,1490.0,0.0,82.22,0.0,4.44,
,Sauerkraut,,,,,,,
,MOUSSE AU CHOCOLAT La Fermière,,,,,,,
,"Oh!, Soda",0.0,0.0,0.0,0.0,,0.0,
,Macaroon Brownies,30.09,1849.0,31.86,41.59,3.5,5.31,
,Extreme Chocolate Brownies,20.35,1741.0,40.71,56.64,2.6,3.54,
,"Salted Caramel Brownies, Salted Caramel",21.51,1845.0,40.86,56.99,2.2,4.3,
,7 Layer Bars,27.27,1987.0,29.29,55.56,3.0,5.05,
,Lemon Bars,12.12,1435.0,29.29,55.56,3.0,5.05,
"WHEAT, SOYBEAN, WHEAT, GLUTEN, WHEAT, BARLEY, SOYBEAN, WHEAT, GLUTEN, SOY, SOY, WHEAT",White enriched bread,1.79,1050.0,7.14,50.0,3.57,7.14,
,Four Wheat Whole Grain Wide Pan Bread,2.22,1021.0,6.67,48.89,6.7,11.11,
,Flax & Fiber Wide Pan Bread,6.67,1209.0,8.89,48.89,8.9,13.33,
,Enriched White Bread,3.49,1167.0,6.98,53.49,2.3,9.3,
,Multigrain Wide Pan Bread,3.33,1209.0,8.89,55.56,6.7,8.89,
,Délices d’olives,,,,,,,
,Enriched Wheat Bread,2.44,1121.0,7.32,56.1,2.4,7.32,
,Sandwich Slims,2.33,874.0,2.33,46.51,11.6,9.3,
,100% Whole Wheat Wide Pan Bread,3.33,1117.0,6.67,51.11,6.7,11.11,
"WHEAT, SOYBEAN, SOY, WHEAT, BARLEY, RYE, WHEAT, GLUTEN, SOYBEAN, BARLEY, SOY",Light Rye,2.22,1120.0,2.22,51.1,2.22,8.89,
,honey wheat bread,,,,,,,
,Hamburger Buns,2.33,1167.0,6.98,51.16,2.3,9.3,
,"Psst..., Enriched Hot Dog Buns",3.85,1180.0,7.69,53.85,2.6,7.69,
,"Zero Calorie Diet Soda, Black Cherry",0.0,0.0,0.0,0.0,,0.0,
,Enriched Wheat Bread,3.45,1008.0,3.45,48.28,3.4,6.9,
,Cinamon Maple Pancake Syrup,0.0,1464.0,61.67,90.0,,0.0,
,Hot Dog Buns,3.49,1167.0,6.98,53.49,2.3,9.3,
,Celery Salt,0.0,0.0,0.0,0.0,,0.0,
,Garlic Salt Seasoning,0.0,0.0,,0.0,,0.0,
,Flavored Lemon Pepper Seasoning,0.0,0.0,0.0,0.0,,0.0,
,Sourdough wide pan bread,,,,,,,
,Cajun Seasoning,0.0,0.0,,0.0,,0.0,
,"Grill Time, Steak Seasoning",0.0,0.0,,0.0,,0.0,
,Onion Salt,0.0,0.0,,0.0,,0.0,
,Seasoned Salt,0.0,0.0,,0.0,,0.0,
,Seasoned Meat Tenderizer,0.0,0.0,,0.0,,0.0,
,Lemon Pepper,0.0,0.0,,0.0,,0.0,
,Garlic Salt,0.0,0.0,,0.0,,0.0,
,Whipped Topping Mix,33.33,2092.0,66.67,66.67,0.0,0.0,
,"Ice Cream, Vanilla Bean",11.83,946.0,19.35,24.73,0.0,4.3,
,"Ice Cream, Classic Country Vanilla",12.9,946.0,18.28,23.66,0.0,4.3,
,"Ice Cream, Denali Extreme Moose Tracks",16.47,1230.0,27.06,32.94,2.4,4.71,
,"Ice Cream, Southern Butter Pecan",18.52,1238.0,18.52,24.69,0.0,4.94,
,"Ice Cream, Chocolate",12.63,1013.0,23.16,28.42,2.1,4.21,
,English Toffee Caramel Ice Cream,14.12,1134.0,25.88,30.59,0.0,4.71,
,"Ice Cream, Semi-Sweet Chocolate Chip",18.29,1276.0,23.17,28.05,1.2,4.88,
,"Ice Cream, Amaretto Cherry Cordial",13.1,1046.0,22.62,27.38,1.2,3.57,
,Ice Cream,14.12,1134.0,25.88,30.59,0.0,4.71,
,"Ice Cream, Chocolate Chip Cookie Dough",14.29,1146.0,23.81,30.95,0.0,4.76,
,"Ice Cream, Black Raspberry Dark Chocolate Chunk",14.63,1071.0,23.17,28.05,0.0,4.88,
,"Ice Cream, Denali Caramel Caribou",11.9,1046.0,25.0,29.76,0.0,3.57,
,Roasted Peanuts And Honey,38.24,2213.0,20.59,32.35,5.9,17.65,
,"Cooking Wine, White",0.0,280.0,,10.0,,0.0,
,Red Cooking Wine,0.0,280.0,,10.0,,0.0,
,"Cooking Wine, Sherry",0.0,347.0,,10.0,,0.0,
,Natural Rice Vinegar,0.0,0.0,,0.0,,0.0,
,Seasoned Rice Vinegar,0.0,418.0,26.67,26.67,,0.0,
,Balsamic Vinegar,0.0,280.0,13.33,13.33,,0.0,
,English Muffins,,,,,,,
,"Diet Soda, Black Cherry",0.0,0.0,0.0,0.0,,0.0,
,"Diet Soda, Grapefruit",0.0,0.0,0.0,0.0,,0.0,
,"Diet Soda, Cherry Cola",0.0,0.0,0.0,0.0,,0.0,
,wheat bread,,,,,,,
,Turkey,4.46,523.0,1.79,3.57,0.0,17.86,
,Uncured Ham,2.68,448.0,3.57,3.57,0.0,19.64,
,Honey Wheat Braided Pretzels,3.33,1674.0,13.33,83.33,3.3,6.67,0.133
,Breakfast Bread,5.68,1331.0,20.45,59.09,2.3,6.82,
,"Soda, Pineapple Passionfruit",0.0,192.0,11.25,11.25,,0.0,
,Chocolate Coated Mini Donuts,33.3,2180.0,33.3,56.2,2.08,4.17,
,"Soda, Blackberry Citrus",0.0,188.0,11.58,11.58,,0.0,
,"Soda, Orange Cream",0.0,226.0,13.56,13.56,,0.0,
,"Cookies, Ginger Snaps",12.5,1795.0,32.14,75.0,3.6,7.14,
,Seltzer Water,0.0,0.0,,0.0,,0.0,
,vanilla wafers,,,,,,,
,"Value, Soda, Cola",0.0,88.0,5.49,5.49,,0.0,
,"Value, Diet Soda, Cola",0.0,0.0,0.0,0.0,,0.0,
,Easter Colossal Brownie,16.88,2067.0,57.14,83.12,1.3,3.9,
,"Reduced Fat Wafers, Vanilla",8.33,1812.0,46.67,83.33,3.3,3.33,
,Mayo,33.33,1393.0,0.0,6.67,0.0,0.0,
,Classic Whip,20.59,983.0,17.65,17.65,0.0,0.0,
,Sparkling Seltzer Water,0.0,0.0,0.0,0.0,,0.0,
,Jumbo Hamburger Enriched Buns,5.41,1243.0,10.81,58.11,1.4,8.11,
,Pub Style Rolls Pretzel,2.14,1075.0,5.71,50.0,1.4,10.0,
,Pretzel Soft Authentic Sandwich Rolls,2.02,1100.0,6.06,50.51,2.0,10.1,
,Salted Cashews Halves & Pieces,46.43,2389.0,3.57,28.57,3.6,17.86,0.643
,"Halves & Pieces Cashews, Lightly Salted",46.43,2389.0,3.57,28.57,3.6,17.86,0.643
,Sliders White Enriched Mini Buns,3.57,1197.0,7.14,57.14,3.6,10.71,
,"Dillons, Whole Wheat Sliders Mini Buns",3.57,1046.0,3.57,46.43,3.6,10.71,
,Unsalted Whole Cashews,50.0,2389.0,3.57,28.57,3.6,17.86,0.643
,Salted Cashews Halves & Pieces,46.43,2389.0,3.57,28.57,3.6,17.86,0.643
,"King Soopers, City Market, White Sliders Enriched Mini Buns",3.57,1197.0,7.14,57.14,3.6,10.71,
,Salted Mixed Nuts,53.57,2540.0,3.57,17.86,7.1,21.43,0.5710000000000001
,Salted Mixed Nuts,53.57,2540.0,3.57,17.86,7.1,21.43,0.5710000000000001
,"King Soopers, City Market, Sliders Mini Buns",3.57,1046.0,3.57,46.43,3.6,10.71,
,Sliders Enriched Mini Buns,3.57,1343.0,7.14,60.71,3.6,10.71,
,Sweet Hawaiian,4.76,1197.0,9.52,54.76,2.4,9.52,
,Sweet Hawaiian Bread,4.76,1197.0,9.52,54.76,2.4,9.52,
,Maple Glazed Cake Donuts,19.72,1828.0,35.21,59.15,1.4,4.23,
,Sandwich Buns,3.85,1234.0,7.69,55.13,2.6,10.26,
,Sourdough Wide Pan Bread,2.7,1130.0,10.81,56.76,2.7,8.11,
,Strawberry Cream Cheese Loaf Cake,20.88,1703.0,27.47,49.45,1.1,4.4,
,Seasoned Beef Patties,16.96,933.0,0.89,3.57,1.8,15.18,
,Ground Beef Burgers,8.93,749.0,0.0,0.0,0.0,20.54,
,"Plain Mini Bagels, pre-sliced",,,,,,,
,Pain hamburger,2.0,628.0,3.0,3.0,,5.0,
,wheat,,,,,,,
,Italian Herb Grinder Savory And Spicy,0.0,0.0,,0.0,,0.0,
,Honey Mustard,22.58,1213.0,16.13,19.35,0.0,0.0,
,Raspberry Vinaigrette,9.38,787.0,21.88,21.88,0.0,0.0,
,The Original Snack Crackers,25.0,2092.0,6.25,62.5,0.0,6.25,
,"Soda, Vanilla Cream",0.0,213.0,13.56,13.56,,0.0,
,Bearnaise Sauce Mix,0.0,1674.0,,80.0,,0.0,
,"Mix, Pesto Sauce",0.0,1255.0,20.0,60.0,,20.0,
,"Hot Cocoa, Sweet Mint",2.86,1552.0,77.14,82.86,2.9,11.43,
,Swirl Bread,5.36,1197.0,14.29,53.57,3.6,7.14,
,"Deluxe Ice Cream, S'Mores",10.67,1004.0,22.67,30.67,0.0,2.67,0.147
,Deluxe Ice Cream,11.43,1017.0,25.71,32.86,1.4,4.29,
,"Deluxe Ice Cream, Chocolate Butter Toffee",10.0,958.0,28.57,31.43,0.0,2.86,
,Restaurant Style Tortilla Chips,24.14,2163.0,0.0,65.52,6.9,6.9,
,"Deluxe Ice Cream, Artisan Vanilla Bean",10.0,837.0,20.0,24.29,0.0,2.86,
,"Deluxe Churned Reduced Fat Ice Cream, Vividly Vanilla",4.62,644.0,7.69,24.62,1.5,6.15,
,"Deluxe Ice Cream, Chocolate Chip",11.43,895.0,20.0,25.71,0.0,2.86,
,"Deluxe Ice Cream, Death By Chocolate",11.43,958.0,17.14,28.57,0.0,4.29,
,"Deluxe Ice Cream, Rocky Road",11.43,958.0,21.43,30.0,1.4,4.29,
,"Deluxe Frozen Yogurt, Pineapple Coconut",2.17,665.0,24.64,30.43,0.0,2.9,0.188
,"Deluxe Frozen Yogurt, Caramel Praline",3.52,766.0,29.58,33.8,0.0,4.23,
,Ice Cream,13.1,1046.0,22.62,28.57,1.2,3.57,
,Traditional Salsa,0.0,134.0,3.23,9.68,3.2,0.0,
,Traditional Salsa,0.0,134.0,3.23,9.68,3.2,0.0,
,"Pasta Sauce, Traditional",1.95,293.0,7.03,10.16,2.3,1.56,
,"Homestyle Pasta Sauce, Tomato & Basil",1.56,293.0,7.81,12.5,2.3,2.34,
,"Homestyle Pasta Sauce, Marinara",1.56,259.0,7.03,10.16,2.3,1.56,
,"Pasta Sauce, Chunky Mushroom & Onion",1.95,293.0,7.81,10.94,2.3,2.34,
,"Chunky Pasta Sauce, Green Pepper & Mushroom",1.95,293.0,7.03,10.94,2.3,2.34,
,"Homestyle Pasta Sauce, Roasted Red Pepper With Garlic",1.95,326.0,7.81,12.5,2.3,2.34,
,"Pasta Sauce Flavored With Beef, Traditional",2.34,293.0,7.03,10.16,2.3,2.34,
,"Homestyle Pasta Sauce, Parmesan & Romano",2.73,360.0,7.81,11.72,2.3,3.12,
,"Homestyle Pasta Sauce, 6 Cheese",2.73,326.0,7.03,10.16,2.3,3.12,
,"Homestyle Pasta Sauce, Flavored With Beef, Beef",1.95,326.0,7.81,11.72,2.3,2.34,
,Seasoning Mix & Cooking Bag,0.0,929.0,,66.67,,0.0,
,Original Chocolate Chip Cookies With Real Chocolate Chips,19.44,1745.0,30.56,61.11,5.6,5.56,
,"Chipmates, Chunky Chocolate Chip Cookies",21.43,1795.0,28.57,60.71,3.6,3.57,
,Chewy Chocolate Chip Cookies With Real Chocolate Chips,19.35,1753.0,29.03,64.52,0.0,3.23,
,"Chipmates, Chunky Chocolate Chip Cookies, Peanut Butter",26.92,1933.0,26.92,57.69,0.0,7.69,
,"Chunky Chocolate Chip Cookies, White Chip",22.22,1858.0,29.63,59.26,0.0,3.7,
,Chocolate Chip Cookies,21.43,1795.0,32.14,57.14,0.0,3.57,
,Chocolate Chip Cookies,13.89,1745.0,33.33,66.67,2.8,5.56,
,"Original Sandwich Cookies, Chocolate",17.65,1845.0,41.18,70.59,2.9,2.94,
,Blueberries,1.0,356.0,,58.0,10.0,3.0,
,"Creamy Peanut Butter, Roasted Peanuts",46.88,2351.0,12.5,25.0,6.2,21.88,
,Crunchy Peanut Butter,46.88,2351.0,12.5,28.12,6.2,21.88,
,Natural Creamy Peanut Butter,50.0,2485.0,3.12,21.88,9.4,25.0,
,Natural Crunchy Peanut Butter,48.0,2259.0,3.0,3.0,9.4,24.0,
,Crunchy Roasted Peanuts And Honey,41.18,2213.0,17.65,29.41,5.9,20.59,
,Apple Cinnamon Pecan Instant Oatmeal,9.52,1594.0,7.14,66.67,19.0,9.52,
,Butter Toffee Peanuts,27.27,2155.0,48.48,57.58,3.0,15.15,
,"Ten Calories, Soda, Cola",0.0,13.0,0.56,0.56,,0.0,
,Dr. K Soda,0.0,13.0,0.56,0.56,,0.0,
,Soda,0.0,13.0,0.56,0.56,,0.0,
,Ginger Ale,0.0,167.0,9.89,9.89,,0.0,
,"Sparkling Seltzer Water, Orange",0.0,0.0,,0.0,,0.0,
,"Sparkling Seltzer Water, Raspberry",0.0,0.0,,0.0,,0.0,
,Sparkling Seltzer Water,0.0,0.0,,0.0,,0.0,
,nice'n cheesy,,,,,,,
,"Vitamin Enhanced Water Beverage, Lemonade",0.0,0.0,0.0,2.92,,0.0,
,"Vitamin Enhanced Water Beverage, Blood Orange",0.0,0.0,0.0,2.92,,0.0,
,"Vitamin Enhanced Water Beverage, Cherry",0.0,0.0,0.0,2.92,,0.0,
,"Ice Pix, Ice Pops, Pineapple-Cherry",0.0,364.0,20.65,20.65,,0.0,
,"Ice Pix, Ice Pops, Cherry-Mango",0.0,364.0,20.65,21.74,,0.0,
,Twin Ice Pix Pops,0.0,322.0,20.51,20.51,,0.0,
,Party Pail Ice Cream,9.38,849.0,23.44,23.44,0.0,3.12,0.188
,"Party Pail Ice Cream, Chocolate",10.94,916.0,18.75,26.56,3.1,3.12,0.23399999999999999
,Party Pail Ice Cream,9.38,849.0,21.88,23.44,0.0,3.12,0.141
,Party Pail Ice Cream,10.94,916.0,25.0,28.12,0.0,3.12,0.188
,Party Pail Sherbet,0.0,590.0,24.71,32.94,0.0,1.18,0.076
,Ice Cream Sandwiches,10.81,1188.0,21.62,41.89,1.4,4.05,
,Valentine Colossal Brownie,14.12,1870.0,52.94,76.47,1.2,3.53,
,Chocolate Lovers Colossal Brownie,12.94,1820.0,52.94,76.47,2.4,4.71,
,Tortilla Chips With A Kick Of Lime,24.14,2021.0,3.45,65.52,6.9,6.9,
,"Pink Himalayan Sea Salt, Grinder",0.0,0.0,,0.0,,0.0,
,Garlic & Sea Salt Grinder,0.0,0.0,,0.0,,0.0,
,"Dutch Hot Cocoa Mix, Milk Chocolate",3.23,1619.0,67.74,87.1,0.0,3.23,
,"Psst..., Fudge Swirl",3.39,707.0,23.73,32.2,0.0,3.39,0.153
,Frozen Dairy Dessert,3.45,720.0,20.69,29.31,0.0,3.45,0.16399999999999998
,"100% Juice, Grape",0.0,259.0,15.0,15.42,0.0,0.0,
,"100% Juice, White Grape",0.0,259.0,15.0,15.42,,0.0,
,Cranberry Apple Juice Cocktail,0.0,259.0,15.0,15.42,,0.0,
,Seasoned Salt,0.0,0.0,,0.0,,0.0,
,Garlic Salt,0.0,0.0,,0.0,,0.0,
,Lemon & Pepper Seasoning,0.0,0.0,,0.0,,0.0,
,Cajun Seasoning,0.0,0.0,,0.0,,0.0,
,Seasoned Meat Tenderizer,0.0,0.0,,0.0,,0.0,
,Chili Powder,0.0,0.0,,0.0,,0.0,
,"P$$T..., Vanilla Sandwich Cookies",18.18,2029.0,33.33,72.73,0.0,3.03,
,"P$$T..., Duplex Sandwich Cookies",18.18,2029.0,33.33,72.73,3.0,3.03,
,"P$$T..., Assorted Sandwich Cookies",18.18,2029.0,33.33,72.73,3.0,3.03,
,"P$$T..., Sandwich Cookies, Peanut Butter",18.18,2029.0,33.33,72.73,3.0,6.06,
,"P$$T..., Sandwich Cookies, Lemon",17.73,,,72.73,0.0,,
,"P$$T..., Sandwich Cookies, Chocolate Fudge",18.18,1904.0,33.33,66.67,3.0,3.03,
,"P$$T..., Shortbread Cookies, Fudge Striped",20.0,2033.0,28.57,71.43,2.9,5.71,
,"P$$T..., Sugar Cookies",17.86,1795.0,25.0,60.71,0.0,3.57,
,"P$$T..., Oatmeal Cookies",17.86,1795.0,21.43,57.14,3.6,7.14,
,"P$$T..., Cookies, Lemon, Iced",17.86,1941.0,32.14,67.86,0.0,3.57,
,"P$$T..., Iced Oatmeal Cookies",17.86,1941.0,21.43,64.29,3.6,7.14,
,"P$$T..., Chocolate Chip Cookies",17.86,1795.0,21.43,60.71,0.0,3.57,
,Graham Crackers,11.11,1858.0,18.52,74.07,3.7,7.41,
,Animal Crackers,8.33,1674.0,16.67,76.67,3.3,6.67,
,"Psst..., Saltines Crackers",7.14,1795.0,0.0,71.43,7.1,7.14,
,Oyster Crackers,10.0,1674.0,0.0,73.33,0.0,6.67,
,Flour Tortillas,5.56,1209.0,2.22,53.33,2.2,8.89,
,Mixed Nuts,57.14,2540.0,0.0,17.86,3.6,17.86,
,Creamy Peanut Butter,46.88,2351.0,12.5,25.0,6.2,21.88,
,Roasted Peanuts And Honey Creamy,38.24,2213.0,20.59,32.35,5.9,17.65,
,Crunchy Peanut Butter,50.0,2485.0,3.12,21.88,9.4,25.0,
,"Psst..., Spread, Strawberry",0.0,1255.0,40.0,65.0,,0.0,
,"Psst..., Grape Jelly",0.0,1046.0,25.0,65.0,,0.0,
,Mayonnaise,78.57,2987.0,0.0,7.14,0.0,0.0,
